id,A unique LC assigned ID for the loan listing
member_id,A unique LC assigned Id for the borrower member
loan_amnt,The amount of the loan the applicant received
int_rate,Interest rate of the loan the applicant received
installment,Monthly payment for the loan the applicant received
grade,Grade associated with the loan
emp_length,"Number of years in the job, rounded down If longer than 10 years, then this is represented by the value 10+"
home_ownership,The ownership status of the applicant's residence
annual_inc,Annual income
loan_status,Current status of the loan
dti,Debt-to-income ratio
delinq_2yrs,Failed to pay back  loan in the last 2 years
inq_last_6mths,Inquiries into the applicant's credit during the last 6 months
mths_since_last_delinq,Months since the last delinquency
open_acc,The number of open credit lines in the borrower's credit file
pub_rec,Number of bankruptcies listed in the public record for this applicant
revol_bal,Total credit revolving balance
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit"
total_acc,The total number of credit lines currently in the borrower's credit file
total_pymnt,Payments received to date for total amount funded
total_pymnt_inv,Payments received to date for portion of total amount funded by investors
total_rec_prncp,Principal received to date
total_rec_int,Interest received to date
total_rec_late_fee,Late fees received to date
recoveries,post charge off gross recovery
collection_recovery_fee,post charge off collection fee
last_pymnt_amnt,last payment amount
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections
application_type,The type of application: either individual or joint
acc_now_delinq,The number of accounts on which the borrower has failed to pay back
tot_coll_amt,Total collection amounts ever owed
tot_cur_bal,Total current balance of all accounts
total_rev_hi_lim,Total revolving high credit/credit limit
